"SN","Village Name","Before Merge",,,"After Merge",,
,,"EVR","NGONI","Total","EVR","NGONI","Total"
90,"Other","5 ","0 ","5 ","4 ","0 ","4 "
91,"Ngoza","3 ","0 ","3 ","3 ","0 ","3 "
92,"Nkhuntchi","24 ","0 ","24 ","23 ","0 ","23 "
93,"Tonde","9 ","0 ","9 ","9 ","0 ","9 "
94,"Undi","5 ","0 ","5 ","5 ","0 ","5 "
95,"Pheleni","1,351 ","1 ","1,352 ","1,348 ","1 ","1,349 "
96,"Suntche 1","555 ","0 ","555 ","553 ","0 ","553 "
97,"Suntche 2","407 ","0 ","407 ","404 ","0 ","404 "
98,"Taiza","662 ","3 ","665 ","660 ","3 ","663 "
99,"Thandaza","1,131 ","171 ","1,302 ","1,130 ","171 ","1,301 "
100,"Tonde","401 ","161 ","562 ","399 ","161 ","560 "
101,"Undi","443 ","19 ","462 ","441 ","19 ","460 "
102,"Waya Kunseche","359 ","0 ","359 ","359 ","0 ","359 "
103,"Wayakumseche","2 ","0 ","2 ","2 ","0 ","2 "
,,"1 ","0 ","1 ","1 ","0 ","1 "
,"Grand Totals","49,184 ","5,198 ","54,382 ","48,772 ","5,178 ","53,950 "
